,"Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56- | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16+CD56dim | Freq. of Parent (%)","Time, CD56-Brilliant Violet 605-A subset/Lymphocytes/Singlets_FS/Dump Boot/CD3-CD14-/Boot/CD16-CD56bright | Freq. of Parent (%)",
328d.fcs,13.6,62.5,12.2,
328e.fcs,14.5,65.0,9.52,
333d.fcs,13.0,79.8,3.37,
333e.fcs,10.6,79.2,5.19,
339d.fcs,14.9,75.8,4.48,
339e.fcs,13.8,78.3,3.75,
342d.fcs,18.7,63.5,9.37,
342e.fcs,19.2,61.6,11.3,
344d.fcs,36.3,44.2,2.78,
344e.fcs,13.6,74.1,5.57,
347d.fcs,25.9,61.7,2.62,
347e.fcs,24.5,65.8,3.48,
350d.fcs,14.6,74.5,5.27,
350e.fcs,32.2,57.9,3.28,
352d.fcs,57.7,29.2,2.55,
352e.fcs,54.8,34.2,2.77,
356d.fcs,32.1,53.9,3.86,
356e.fcs,25.7,63.0,2.68,
358d.fcs,33.6,49.9,7.95,
358e.fcs,41.3,43.5,5.23,
LRS_1_1.30.fcs,7.86,79.5,6.26,
Mean,24.7,61.8,5.40,
SD,14.1,14.9,2.97,
